id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
116380,Female,Loyal Customer,35,Personal Travel,Eco,333,3,5,3,4,5,3,5,5,5,3,5,3,4,5,32,27.0,neutral or dissatisfied
48403,Male,Loyal Customer,50,Personal Travel,Eco Plus,674,3,4,3,5,3,3,3,3,5,3,4,4,5,3,32,28.0,neutral or dissatisfied
66560,Female,Loyal Customer,62,Personal Travel,Eco,328,3,3,3,3,5,4,3,5,5,3,5,4,5,2,32,28.0,neutral or dissatisfied
104206,Female,Loyal Customer,46,Business travel,Business,3220,1,1,1,1,5,4,5,5,5,5,5,4,5,5,32,28.0,satisfied
17230,Male,disloyal Customer,31,Business travel,Eco,872,3,3,3,5,4,3,4,4,4,2,2,1,1,4,32,28.0,neutral or dissatisfied
14465,Male,Loyal Customer,44,Personal Travel,Eco,674,1,5,1,3,4,1,3,4,3,4,5,4,4,4,32,28.0,neutral or dissatisfied
47352,Male,Loyal Customer,28,Business travel,Business,3324,3,3,3,3,4,4,4,4,5,1,1,5,1,4,32,28.0,satisfied
59235,Female,Loyal Customer,41,Personal Travel,Eco,649,3,1,3,3,1,3,1,1,1,4,3,1,3,1,32,28.0,neutral or dissatisfied
72481,Female,Loyal Customer,36,Business travel,Business,3657,2,3,5,3,1,4,4,2,2,2,2,3,2,2,32,28.0,neutral or dissatisfied
25908,Female,Loyal Customer,52,Business travel,Business,3309,5,5,5,5,4,4,5,5,5,5,5,5,5,3,32,28.0,satisfied
19897,Female,disloyal Customer,37,Business travel,Eco,296,3,1,3,3,5,3,5,5,2,5,4,2,3,5,32,28.0,neutral or dissatisfied
83994,Female,Loyal Customer,30,Business travel,Business,2304,3,2,2,2,3,3,3,3,1,2,4,1,3,3,32,28.0,neutral or dissatisfied
26530,Male,Loyal Customer,46,Business travel,Business,3269,3,4,4,4,2,4,4,3,3,3,3,3,3,4,32,28.0,neutral or dissatisfied
100280,Female,Loyal Customer,48,Business travel,Business,1052,1,1,1,1,4,5,5,4,4,4,4,4,4,4,32,28.0,neutral or dissatisfied
26531,Male,disloyal Customer,23,Business travel,Eco,990,3,3,3,3,2,3,1,2,2,2,4,1,3,2,32,28.0,neutral or dissatisfied
25065,Male,Loyal Customer,65,Personal Travel,Eco,594,3,3,3,4,5,3,5,5,4,4,3,1,4,5,32,29.0,neutral or dissatisfied
87007,Male,Loyal Customer,46,Personal Travel,Eco,907,4,5,4,2,2,4,2,2,5,2,5,5,4,2,32,29.0,neutral or dissatisfied
53694,Male,Loyal Customer,51,Business travel,Business,2468,1,1,1,1,1,1,3,5,5,5,5,3,5,2,32,29.0,neutral or dissatisfied
123023,Female,Loyal Customer,53,Business travel,Business,468,4,4,5,4,5,4,5,4,4,4,4,5,4,5,32,29.0,satisfied
