id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
120136,Male,disloyal Customer,25,Business travel,Business,1475,4,5,4,4,4,4,4,4,3,2,4,4,4,4,1,0.0,satisfied
70692,Female,Loyal Customer,57,Business travel,Business,2403,1,1,1,1,4,4,5,5,5,5,5,4,5,3,1,0.0,satisfied
70118,Male,disloyal Customer,69,Business travel,Eco,460,3,4,3,4,3,3,4,3,4,3,3,2,3,3,1,0.0,neutral or dissatisfied
46710,Female,Loyal Customer,12,Personal Travel,Eco,125,3,1,3,3,1,3,1,1,1,1,4,1,4,1,1,0.0,neutral or dissatisfied
122275,Male,Loyal Customer,8,Personal Travel,Eco,541,2,4,2,1,4,2,4,4,5,4,5,3,5,4,1,0.0,neutral or dissatisfied
126412,Male,Loyal Customer,24,Business travel,Business,600,2,2,2,2,4,4,4,4,4,3,4,4,4,4,1,0.0,neutral or dissatisfied
124143,Female,Loyal Customer,50,Business travel,Business,2194,3,2,3,3,5,5,5,5,5,5,5,3,5,4,1,0.0,satisfied
78231,Male,Loyal Customer,18,Personal Travel,Eco,259,3,5,3,4,2,3,3,2,4,1,1,2,4,2,1,0.0,neutral or dissatisfied
112735,Male,Loyal Customer,60,Business travel,Business,723,5,5,5,5,5,5,4,5,5,5,5,3,5,3,1,0.0,satisfied
59095,Male,Loyal Customer,37,Personal Travel,Eco,1846,3,1,3,4,5,3,5,5,2,4,3,2,3,5,1,0.0,neutral or dissatisfied
115612,Male,Loyal Customer,53,Business travel,Eco,337,3,5,5,5,3,3,3,3,1,4,2,4,3,3,1,0.0,neutral or dissatisfied
113365,Female,Loyal Customer,57,Business travel,Business,1771,1,1,1,1,3,4,5,5,5,5,5,3,5,5,1,0.0,satisfied
121101,Male,Loyal Customer,58,Business travel,Business,2370,2,2,2,2,4,3,4,3,3,3,3,4,3,3,1,0.0,satisfied
21801,Female,Loyal Customer,57,Business travel,Eco,352,1,2,2,2,1,3,3,1,1,1,1,1,1,4,1,0.0,neutral or dissatisfied
