Gender,Customer Type,Age,Type of Travel,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Class_Eco,Class_Eco Plus
0.0,0.0,-0.16666666666666666,1.0,-0.3858879808650588,0.0,1.0,0.0,1.0,0.0,0.5,1.0,1.0,-0.5,1.0,0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.4583333333333333,1.0,-0.11401235798285828,0.0,0.5,0.0,0.0,0.0,-0.5,0.0,1.0,-0.5,0.0,0.5,1.0,0.0,0.0,1.0
0.0,0.0,0.9583333333333334,1.0,-0.38987442694837554,0.0,0.0,0.0,1.0,0.5,-0.5,1.0,1.0,-0.5,1.0,0.5,1.0,-0.5,1.0,0.0
0.0,0.0,0.2916666666666667,0.0,1.9158859876420171,-1.0,-1.0,-1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.0
1.0,1.0,-0.3333333333333333,0.0,0.04385090691648395,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,-1.0,-2.0,-1.0,-3.0,0.5,1.0,0.0
1.0,0.0,0.20833333333333334,1.0,-0.11401235798285828,-1.0,1.0,-1.0,0.5,-1.0,-0.5,0.5,0.0,0.0,1.0,0.5,0.0,0.5,1.0,0.0
1.0,0.0,-0.4583333333333333,0.0,1.998804066175005,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.0,-1.5,-3.0,1.0,-3.0,0.5,0.0,0.0
0.0,0.0,0.08333333333333333,1.0,-0.1339445883994419,0.0,-1.0,0.0,-1.0,0.0,-1.5,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0
0.0,0.0,-0.125,0.0,2.2643013753238987,-0.5,0.0,1.0,-1.0,0.5,0.0,-0.5,-0.5,-1.0,-2.0,0.0,-2.0,-0.5,0.0,0.0
0.0,0.0,0.5416666666666666,0.0,1.9868447279250547,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0
